MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Armadillo
",Putt & Approach,1,2,0,1,1,21.3,1.9,1.4,0.8,19.6,6.6,90.75,No
"Beetle
",Putt & Approach,1,7,-1,0,-1,21.9,2.2,1.6,0.8,20.3,7.3,89.25,No
"Berg
",Putt & Approach,1,1,0,2,2,21.1,2,1.4,0.9,19.3,6.6,87,No
"Birdie
",Putt & Approach,1,2,0,0,0,21.2,2.4,1.9,0.7,19.8,9,98.25,No
"Claws
",Putt & Approach,1,3,0,0.5,0.5,21.2,2,1.7,0.9,19.4,8,85,No
"Glitch
",Putt & Approach,1,7,0,0,0,21.2,2,1.6,0.8,19.5,7.5,66.5,No
"Hydrogen
",Putt & Approach,1,2,0,0,0,21.2,2.1,1.5,0.7,19.7,7.1,72.25,No
"No2 Putter
",Putt & Approach,1,2,-2,1,-1,21.8,2.6,1.6,1,19.8,7.3,53.75,No
"Polecat
",Putt & Approach,1,3,0,0,0,21.3,2.3,1.6,0.7,19.9,7.5,83.25,No
"Sonic
",Putt & Approach,1,2,-4,0,-4,21.6,2.3,1.6,0.6,20.4,7.4,82,No
"Super Dillo
",Putt & Approach,1,4,-3,1,-2,23.6,2,1.2,0.8,22,5.1,88,No
"Upshot
",Putt & Approach,1,3,-2,0,-2,21.6,2.2,1.4,0.7,20.2,6.5,63.75,No
"Ace
",Putt & Approach,2,3,-2,1,-1,21.2,2.2,1.1,0.9,19.4,5.2,50.5,No
"Agent
",Putt & Approach,2,3,0,1,1,21.2,2.1,1.4,1.1,19,6.6,60.75,No
"Animal
",Putt & Approach,2,1,0,1,1,21.2,2.1,1.3,1,19.2,6.1,64,No
"APX
",Putt & Approach,2,2,-1,1,0,21,2.3,1.4,0.9,19.2,6.7,49.25,Yes
"Aviar
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,0.9,19.4,7.1,55.75,No
"Aviar Driver
",Putt & Approach,2,3,0,2,2,21.2,2,1.5,0.9,19.4,7.1,55.75,Yes
"Bagger
",Putt & Approach,2,3,0,1,1,21.3,1.8,1.5,1.1,19.2,7.5,59.75,Yes
"Banger GT
",Putt & Approach,2,3,0,1,1,21.2,2,1.6,1,19.2,7.5,65.75,Yes
"Beaver
",Putt & Approach,2,3,-1,1,0,21.2,2.2,1.6,0.9,19.3,7.5,50.5,Yes
"Bighorn
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.6,1.5,19.2,7.5,67.75,Yes
"Bleak
",Putt & Approach,2,4,-1,1,0,21,2.2,1.4,1.1,18.9,6.7,52,No
"Blowfly I
",Putt & Approach,2,2,0,2,2,21.5,2.7,1.1,1.5,18.5,5.1,52.5,No
"Bluebonnet
",Putt & Approach,2,3,0,1,1,21.1,2.1,1.3,1.1,18.9,6.2,65.5,No
"Blunt Gumbputt
",Putt & Approach,2,2,0,2,2,21.7,2.2,1.9,0.7,20.2,8.8,86.75,No
"Bullet
",Putt & Approach,2,4,0,1,1,21.2,1.8,1.5,1.1,18.9,7.1,58.75,No
"Butter
",Putt & Approach,2,3,0,1,1,21.5,2.1,1.5,1.2,19.1,7,67.25,No
"Caltrop
",Putt & Approach,2,2,0,2,2,21,1.9,1.5,1,19.1,7.1,64,No
"Chainzilla
",Putt & Approach,2,3,-1,1,0,21.2,2.2,1.7,1,19.2,8,56,Yes
"Challenger
",Putt & Approach,2,3,0,2,2,21,2.2,1.6,1,19,7.6,61.5,Yes
"Challenger OS
",Putt & Approach,2,3,0,3,3,21.1,2,1.5,1,18.9,7.1,61,Yes
"Challenger SS
",Putt & Approach,2,3,-1,2,1,21.1,2,1.4,1,19.1,6.6,61,No
"Classic Aviar
",Putt & Approach,2,3,0,0,0,21.2,2,1.5,0.9,19.4,7.1,55.75,No
"Clozer
",Putt & Approach,2,3,0,2,2,21.2,2.1,1.4,0.9,19.4,6.6,58.25,Yes
"Clutch
",Putt & Approach,2,3,0,1,1,21.2,2,1.4,0.9,19.4,6.6,49.5,No
"Coupe
",Putt & Approach,2,3,-1,1,0,21.2,2,1.3,0.9,19.4,6.1,50,Yes
"Cumulus
",Putt & Approach,2,3,-1,1,0,21.1,1.7,1.4,1.1,18.9,6.6,55.5,No
"Dagger
",Putt & Approach,2,5,0,1,1,21.1,2.1,1.5,1,19.1,7.1,75.25,Yes
"EMac Judge
",Putt & Approach,2,4,0,1,1,21.2,2,1.4,1.1,18.9,6.6,60.75,Yes
"Faith
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.5,1.1,19,7.1,59.5,No
"Firefly
",Putt & Approach,2,3,0,1,1,21.1,2.1,1.5,1,19.1,7.1,71,No
"Flow Motion
",Putt & Approach,2,3,0,2,2,21.1,1.9,1.5,1,19,7.1,66.5,No
"Focus
",Putt & Approach,2,2,-1,2,1,21.1,2.1,1.6,1,19.1,7.6,60.25,No
"Fudge
",Putt & Approach,2,3,0,2,2,21.3,2,1.5,1.1,19.2,7,63,Yes
"Gauntlet
",Putt & Approach,2,4,0,1,1,21.2,2.1,1.5,1.1,19,7.1,61.75,Yes
"Great Horned Owl
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.4,1,19.2,6.6,62.25,Yes
